Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);
2025-01-01;.2;21.8;78.8;10.3;
2025-01-02;0;21.5;79.5;13.7;
2025-01-03;4.4;23.2;73;9.4;
2025-01-04;0;23.9;68.4;10.6;
2025-01-05;0;20.9;80.1;9.2;
2025-01-06;0;20.6;80.7;7.4;
2025-01-07;1.4;19.8;87.1;7.8;
2025-01-08;2.6;19.2;87.3;8.4;
2025-01-09;11;19.2;82.3;9.8;
2025-01-10;0;19.5;78.2;9.8;
2025-01-11;0;18.7;86;7.6;
2025-01-12;44.4;17.2;90.5;7.6;
2025-01-13;.2;18.2;78.9;8.9;
2025-01-14;0;19.3;73.8;8.6;
2025-01-15;0;18.9;80;9;
2025-01-16;0;21.3;87.7;7.3;
2025-01-17;8.8;21.5;90.3;9.7;
2025-01-18;14.2;22.2;88.1;12.4;
2025-01-19;14.8;21.3;93.4;7.8;
2025-01-20;13;23.3;83.2;15.5;
2025-01-21;4;24.5;74.3;12.7;
2025-01-22;0;22.9;82.6;9.4;
2025-01-23;7.6;23.3;80.3;8.6;
2025-01-24;0;23.1;83;6.4;
2025-01-25;21.8;23.1;82.8;14.4;
2025-01-26;11.6;22;85.3;8;
2025-01-27;2.6;20.8;85.8;8.1;
2025-01-28;.6;21.4;86.9;7.3;
2025-01-29;49.4;21.3;89.3;7.2;
2025-01-30;8.4;21.2;89.9;8.6;
2025-01-31;14.6;20.8;87.8;7.8;
2025-02-01;56.8;20.3;93.1;5.7;
2025-02-02;10.4;21.5;87.4;6.5;
2025-02-03;8.8;21.5;88.6;9.1;
2025-02-04;20.4;21.7;88.9;9.1;
2025-02-05;.2;22;85.9;11.2;
2025-02-06;.8;22.1;83.7;11.1;
2025-02-07;.6;21.4;88.1;12.4;
2025-02-08;39.2;20.4;91.9;6.6;
2025-02-09;1.2;22.6;80;7.1;
2025-02-10;0;23.1;76;7.4;
2025-02-11;0;24.5;74.5;10.7;
2025-02-12;0;25.9;64.7;8.2;
2025-02-13;0;23.7;74.9;14.6;
2025-02-14;42.6;21.8;85.5;7.7;
2025-02-15;3.4;23.3;83;10.7;
2025-02-16;7.4;25.5;77;10.1;
2025-02-17;0;26.7;68.7;9.5;
2025-02-18;5;22.3;89;10.1;
2025-02-19;42.8;22;84.4;7.3;
2025-02-20;2.4;22.8;83.9;7.4;
2025-02-21;13.4;23.3;84.8;9.7;
2025-02-22;0;22.9;78.6;7.6;
2025-02-23;0;22.7;76.4;8.9;
2025-02-24;0;23.1;78.1;8.3;
2025-02-25;0;23.4;79.5;6.8;
2025-02-26;.2;24.5;76.3;7.5;
2025-02-27;0;23.8;78.6;17.6;
2025-02-28;25.4;23.2;77.1;9;
2025-03-01;0;23.3;77.8;6.9;
2025-03-02;0;24.6;72.9;8.5;
2025-03-03;0;23.6;75;7.8;
2025-03-04;0;22.9;75.6;9.5;
2025-03-05;0;21.9;79.2;10.1;
2025-03-06;0;22.4;74.3;10;
2025-03-07;0;22.1;79.4;9.5;
2025-03-08;0;22.9;76.3;8.9;
2025-03-09;0;23.6;77.4;11;
2025-03-10;24;20;85.8;7.8;
2025-03-11;0;20.4;86.3;10.1;
2025-03-12;22;20.4;90.3;7.3;
2025-03-13;6.6;21.4;87;6.6;
2025-03-14;8.8;20.9;87.3;6.4;
2025-03-15;0;20.2;88.7;7.1;
2025-03-16;7;18.6;88.8;7.6;
2025-03-17;0;20.3;83;5.8;
2025-03-18;0;20.1;83.8;9.6;
2025-03-19;1.8;19.8;81.2;7.8;
2025-03-20;0;18.7;81;7.4;
2025-03-21;0;18.8;78.4;7.3;
2025-03-22;0;19.9;78.9;8.1;
2025-03-23;0;22.4;78.1;8.7;
2025-03-24;0;22.4;76.6;7.9;
2025-03-25;.4;22.4;80;8;
2025-03-26;3.2;20.8;86;9.2;
2025-03-27;.2;21.2;82.2;7.5;
2025-03-28;0;22.4;77.3;7.1;
2025-03-29;0;23.4;78.3;6.1;
2025-03-30;.2;22.9;77.5;8;
2025-03-31;0;22.5;69.1;7.2;
2025-04-01;0;22.3;81.5;9.6;
2025-04-02;.4;22.3;80.9;10;
2025-04-03;3.8;22.9;80;8.3;
2025-04-04;11.8;20.3;88.5;8.3;
2025-04-05;0;14.3;86.8;10.6;
2025-04-06;.6;15.3;83.9;10.5;
2025-04-07;.2;16.2;87;11;
2025-04-08;0;18;82.5;8.1;
2025-04-09;23.6;20.3;86.5;8.5;
2025-04-10;0;19.8;85.3;6.9;
2025-04-11;0;19.7;82.1;8.3;
2025-04-12;.6;19.3;83.9;6.6;
2025-04-13;0;17.8;91.5;5.7;
2025-04-14;21.6;17;89.8;7.2;
2025-04-15;0;16.8;87.3;6.9;
2025-04-16;0;19.3;82.1;6.2;
2025-04-17;0;20.3;84.1;6.1;
2025-04-18;0;20.7;83;6.8;
2025-04-19;4.8;20.4;84;9.5;
2025-04-20;0;17;88.7;7.3;
2025-04-21;0;16.7;85.9;6.6;
2025-04-22;null;null;79.4;6.4;
2025-04-23;0;16.8;80.2;5.2;
2025-04-24;0;15.3;92.1;4;
2025-04-25;null;null;76.6;6.3;
2025-04-26;null;null;82.5;6.6;
2025-04-27;0;18.7;88.2;6.3;
2025-04-28;.6;19.9;80.9;7.3;
2025-04-29;0;16;76.3;5.2;
2025-04-30;0;16;78.7;8;
2025-05-01;0;15.7;80.5;7.4;
2025-05-02;0;16.9;75.6;6.7;
2025-05-03;0;17.3;81;5.5;
2025-05-04;0;16.7;83.8;9.8;
2025-05-05;0;17.5;81;5.9;
2025-05-06;0;17.8;83.2;4.6;
2025-05-07;0;18.8;80.7;5.1;
2025-05-08;0;20.1;80.8;7.9;
2025-05-09;0;22.3;74.6;13.6;
2025-05-10;11;17.2;89.7;15.1;
2025-05-11;0;13.9;82.1;9;
2025-05-12;0;14.9;84.5;9.1;
2025-05-13;0;16.8;86.3;7;
2025-05-14;.8;16.2;87;6.6;
2025-05-15;null;null;84.4;6.4;
2025-05-16;0;16.8;82.3;6.2;
2025-05-17;0;18.5;76.5;5.6;
2025-05-18;0;18.6;82.3;10;
2025-05-19;.4;18.8;86.1;5.1;
2025-05-20;null;null;73.5;9.6;
2025-05-21;0;18.5;89.7;5.2;
2025-05-22;null;null;null;null;
2025-05-23;null;null;null;null;
2025-05-24;null;null;84.6;8.4;
2025-05-25;null;null;76.2;7.2;
2025-05-26;0;18.7;81.1;8.2;
2025-05-27;0;18.4;78.3;11.3;
2025-05-28;.2;17.5;77;13.9;
2025-05-29;2;9.4;71.6;15.7;
2025-05-30;0;9.2;82.3;5.1;
2025-05-31;0;12.8;77.6;7;
2025-06-01;0;14.4;81.1;5.9;
2025-06-02;0;15.4;87.4;6;
2025-06-03;null;null;79.7;7.3;
2025-06-04;null;17.4;87.9;9.3;
2025-06-05;null;null;null;null;
2025-06-06;null;null;87;null;
2025-06-07;null;null;null;null;
2025-06-08;null;null;83;7.2;
2025-06-09;null;null;93.6;6.4;
2025-06-10;null;null;null;null;
2025-06-11;null;null;69.5;7.3;
2025-06-12;0;9.5;85.6;9.5;
2025-06-13;null;null;81.4;9.9;
2025-06-14;null;null;81.5;8.7;
2025-06-15;null;null;83.5;11.3;
2025-06-16;null;null;90.6;4.5;
2025-06-17;null;null;68.8;8.9;
2025-06-18;0;17.4;76;7.7;
2025-06-19;0;17.2;69.9;5.5;
2025-06-20;0;null;82.2;9.2;
2025-06-21;null;null;70.3;6.1;
2025-06-22;4.2;16.8;84;11.9;
2025-06-23;null;null;85.4;11.3;
2025-06-24;null;null;47.5;10.8;
2025-06-25;null;null;65.2;7;
2025-06-26;null;null;86.5;10.1;
2025-06-27;null;null;null;null;
2025-06-28;null;null;null;null;
2025-06-29;null;null;78.9;13.5;
2025-06-30;null;null;null;null;
2025-07-01;null;null;null;null;
2025-07-02;null;null;null;null;
2025-07-03;null;null;null;null;
2025-07-04;null;null;null;null;
2025-07-05;null;null;78.6;4.6;
2025-07-06;null;null;84.9;6.2;
2025-07-07;null;null;84.1;4.6;
2025-07-08;.2;11.6;85.6;5.7;
2025-07-09;null;null;81.5;7.2;
2025-07-10;null;null;82.7;6.5;
2025-07-11;null;null;74.4;6;
2025-07-12;null;null;72.6;7.5;
2025-07-13;null;null;79.9;6.5;
2025-07-14;null;null;65.7;4.9;
2025-07-15;null;null;70.2;5.5;
2025-07-16;null;null;62.5;5.4;
2025-07-17;null;null;63;9.6;
2025-07-18;null;null;65.3;10.8;
2025-07-19;0;12.6;75.7;5.4;
2025-07-20;0;12.8;82.8;4.7;
2025-07-21;0;13.3;73.9;3.9;
2025-07-22;0;13.7;72.3;9.4;
2025-07-23;0;14;79.4;8.4;
2025-07-24;0;null;89.8;8.2;
2025-07-25;null;null;76.9;4.4;
2025-07-26;0;16.9;78.7;5.1;
2025-07-27;0;18.4;72.3;12.9;
2025-07-28;21.6;16;74.8;17.8;
2025-07-29;0;10.4;61.6;14.4;
2025-07-30;0;9.2;67.2;6;
2025-07-31;0;9.8;79.4;6.5;
2025-08-01;0;14.3;72.9;7.3;
2025-08-02;0;16.9;71.5;7.5;
2025-08-03;0;17.8;62;9.6;
2025-08-04;0;15.7;83;7.4;
2025-08-05;0;13.3;90.2;8;
2025-08-06;0;12.5;87.5;6.9;
2025-08-07;0;14.1;81.7;6.1;
2025-08-08;4;13.4;92.3;12.2;
2025-08-09;8;8.5;74.9;10.5;
2025-08-10;0;9.2;76.4;6.1;
2025-08-11;0;9.9;78.5;4.7;
2025-08-12;0;10.9;73.6;4.4;
2025-08-13;0;13.5;63.8;6.2;
2025-08-14;0;12;77.3;8.2;
2025-08-15;0;11.6;85.7;7.8;
2025-08-16;0;12.9;84.5;7.3;
2025-08-17;0;15.6;72.2;6.5;
2025-08-18;0;14.9;85.9;7.2;
2025-08-19;0;14.6;84.8;8.7;
2025-08-20;.2;17.2;83.3;13.3;
2025-08-21;.6;18.4;74.8;8.4;
2025-08-22;0;20.7;62.5;13.1;
2025-08-23;0;23.7;44.1;13.1;
2025-08-24;0;13.2;85.1;8.6;
2025-08-25;.2;14.8;82.5;7.9;
2025-08-26;2;12.4;95.8;9.3;
2025-08-27;29.4;13.8;91.5;8.5;
2025-08-28;.2;14.7;88.1;7;
2025-08-29;0;15.3;83.5;6;
2025-08-30;0;16.2;82.5;8.3;
2025-08-31;0;16;84.5;9.3;
2025-09-01;0;17.1;85.8;9.8;
2025-09-02;0;17.6;85.1;8;
2025-09-03;0;19.5;74.5;9.1;
2025-09-04;0;20.8;71.7;9.7;
2025-09-05;0;16.6;86.7;7.3;
2025-09-06;1.4;11.4;89.8;8.9;
2025-09-07;.2;12.4;87.5;6.8;
2025-09-08;0;16.3;85.2;9.4;
2025-09-09;3.6;18;73.3;14.1;
2025-09-10;0;16.5;62.1;6;
2025-09-11;0;18.5;63.7;9.2;
2025-09-12;0;14.9;71;7.7;
2025-09-13;0;12.2;81.2;8.2;
2025-09-14;0;14.5;78.1;9.1;
2025-09-15;0;15.9;79.4;7.5;
2025-09-16;3.2;17.9;81;10.6;
2025-09-17;0;17.4;79.4;8.9;
2025-09-18;0;16.6;77.3;9.3;
2025-09-19;0;19.3;68.7;8.7;
2025-09-20;0;21.1;70;9.4;
2025-09-21;0;21.7;72.8;22.9;
2025-09-22;21.2;17.7;85.8;20.6;
2025-09-23;16;13.8;62.2;7.3;
2025-09-24;0;13.2;80.7;8.4;
2025-09-25;1.8;12.5;86.4;8.6;
2025-09-26;4;11.4;88.8;9.8;
2025-09-27;0;13.5;83;8.3;
2025-09-28;.2;15.9;81.3;7.5;
2025-09-29;0;19.5;77.5;6.9;
2025-09-30;2.6;20.7;73.2;16.8;
2025-10-01;12.4;17.6;92.1;7.9;
2025-10-02;1.2;15.9;92.4;6.2;
2025-10-03;.4;16.3;94;6.1;
2025-10-04;10;19.5;82.3;7.8;
2025-10-05;.4;23;66;10.1;
2025-10-06;.2;23.4;63.1;10.7;
2025-10-07;3.8;13.9;93.9;7.4;
2025-10-08;10.4;10.7;96;8.4;
2025-10-09;13.2;12.6;95.5;10.1;
2025-10-10;7.8;14;95.3;9.4;
2025-10-11;9.4;16.6;88.1;6.1;
2025-10-12;.2;17.8;89.3;11.5;
